main_iter,subject_id,real_accuracy_final_test,synthetic_only_test_acc,best_synth_gan_run,best_synth_batch_idx,best_mixed_test_acc,best_mix_ratio,best_synth_val_score,log,notes
1,1,0.921875,0.546875,2,12,0.875,25,0.65,,
1,2,0.5625,0.578125,2,7,0.578125,100,0.65,,
1,3,0.921875,0.734375,2,3,0.9375,100,0.8,,
1,4,0.671875,0.484375,3,3,0.578125,50,0.55,,
1,5,0.703125,0.59375,1,2,0.71875,200,0.6,,
1,6,0.484375,0.5625,3,12,0.5625,25,0.65,,
1,7,0.796875,0.515625,2,1,0.734375,50,0.65,,
1,8,0.984375,0.859375,1,3,0.96875,25,0.9,,
1,9,0.921875,0.765625,1,8,0.90625,25,0.85,,
