main_iter,subject_id,real_accuracy_final_test,synthetic_only_test_acc,best_synth_gan_run,best_synth_batch_idx,best_mixed_test_acc,best_mix_ratio,best_synth_val_score,log,notes
1,1,0.9583333333333335,0.5833333333333334,1,9,0.9583333333333335,25,0.8,,
1,2,0.5416666666666666,0.5,1,1,0.5416666666666666,25,0.5,,
1,3,1.0,0.75,2,19,0.9583333333333335,25,0.95,,
1,4,0.625,0.5,1,13,0.5416666666666666,50,0.5,,
1,5,0.6666666666666665,0.5,1,1,0.625,25,0.5,,
1,6,0.5416666666666666,0.5833333333333334,2,17,0.7083333333333335,25,0.75,,
1,7,0.8333333333333335,0.5,1,1,0.625,25,0.5,,
1,8,0.9583333333333335,0.5,1,4,0.9583333333333335,25,0.55,,
1,9,0.9583333333333335,0.9166666666666665,1,2,0.9583333333333335,100,0.95,,
