main_iter,subject_id,real_accuracy_final_test,synthetic_only_test_acc,best_synth_gan_run,best_synth_batch_idx,best_mixed_test_acc,best_mix_ratio,best_synth_val_score,log,notes
1,1,0.9090909090909091,0.5681818181818182,1,5,0.7954545454545454,25,0.7,,
1,2,0.6363636363636364,0.5,1,1,0.6136363636363636,100,0.5,,
1,3,0.9772727272727273,0.7272727272727273,3,20,0.9545454545454546,25,0.85,,
1,4,0.75,0.5227272727272727,3,2,0.7045454545454546,25,0.7,,
1,5,0.7045454545454546,0.5,1,1,0.5454545454545454,50,0.5,,
1,6,0.4772727272727273,0.5,1,4,0.7045454545454546,200,0.65,,
1,7,0.7727272727272727,0.6590909090909091,2,2,0.8409090909090909,25,0.7,,
1,8,0.9545454545454546,0.5227272727272727,1,1,0.9318181818181818,25,0.6,,
1,9,0.8863636363636364,0.5909090909090909,1,8,0.8863636363636364,25,0.8,,
